original_text,augmented_text
It 's February ! http://t.co/R9tnQ5tCiC on @bloglovin,[CLS] It ' s February . http : / / t . co / R ##9 ##t ##c ##Q ##5 ##t ##pp ##i ##C on @ blog ##lov ##in [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @lnsaneTweets : I got a blank space baby , and it 's my paper that 's due tomorrow","[CLS] R ##T @ l ##ns ##ane ##T ##weet ##s : I got a blank space baby , and it ' s my paper that ' s due tomorrow [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Kids Tente Series MON JARDIN TENTE http://t.co/B3APoqFa3u 5320 http://t.co/zbLGRcsuY5,[CLS] Kids Ten ##te Series S ##ON J ##AR ##DI ##N T ##EN ##TE http : / / t . co / B ##3 ##AP ##S ##q ##F ##a ##3 - 53 ##20 http : / / t . co / z ##b ##L ##GR ##cs ##u ##Y ##5 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"@nikoleeeng That 's indeed correct . For your reference , you may visit this link : http://t.co/UFShOtiDse . Thank you .","[CLS] @ clutch ##ko ##lee ##eng That ' s indeed correct . For your information , you may visit this website : http : / / www . co / a ##FS ##h ##O ##ti ##Ds ##e . Thank you . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Having monday off is love,[CLS] Having mon ##ied off is love [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
And then Fletcher will come on in the 2nd half,[CLS] And the the shoes ##ily ##ily in the 2nd half [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
#inocente2014 Desde que ha empezado la gala llevo viendo la tele ! Y ahora @AurynOficial con Saturday I'm In Love !!!! http://t.co/HDbD07FK95,[CLS] # in ##oc ##ente ##20 ##14 Des ##de audible ha em ##pe ##zad ##o la gal ##a Holy ##evo v ##ien ##do el te ##le ! Y ah ##ora @ Au ##ryn ##O ##fic ##ial con Saturday I ' s In Love ! ! ! ! http : / / t . co / HD ##b ##00 ##0 ##7 ##F ##K ##9 [SEP]
have a fun Saturday yall https://t.co/Fokv2R7IRa,[CLS] have a fun Saturday ya ##rns https : / / t . co . F ##ok ##v ##2 ##R ##7 ##7 . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"@cityofphan hopefully will be anyway , might go just the Saturday","[CLS] @ city ##of ##pha ##s hopefully will be anyway , might go just the Saturday [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Yung lahat ng nag chat sayo nag greet ng Merry Christmas tapos siya may tinanong lang xD,[CLS] Yun ##g la ##hat ng na ##g chat say ##o na ##g greet ng Merry Christmas tap ##os si ##ya may tin ##ano ##ng la ##ng x ##D [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
3rd qtr has begun ...... Harris starts us off with a 3 !!!,[CLS] 3rd ##udes ##tr has been . . . . . . Harris starts it off with a 3 ! ! ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@Punctvredwings I start class again on monday and I do not feel like going,[CLS] @ ##mp ##un ##ct ##vre ##d ##wing ##s I start class again on mid ##day and I do not feel like going [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
364:159 And make and mar The foolish Fates . This was lofty . -- Now name the rest of the players . -- This is #AMNDBots,[CLS] 36 ##4 - 159 And make them ma ##r The foolish Fate ##s . It was loft ##y . - - Now name the rest of the players . - - This is the AM ##E ##B ##ots [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @immarkcoleta : Abangan nyo po sila ulit sa ASAP this Sunday :) @iamjoshuagarcia @itsJaneOineza @starmagicphils http://t.co/Jg9WtVAGlm,[CLS] R ##T @ im ##mark ##co ##let ##a : A ##bang ##an n ##yo p ##o si ##la ul ##it sa AS ##AP this Sunday : ) @ i ##am ##jos ##hua ##gar ##cia @ its ##J ##ane @ . ##T @ star ##ma ##gic ##phi ##lia http : / / t . co / J ##g ##9 ##W ##t ##VA ##G [SEP]
"RT @UnusualFactPage : People who speak two languages , may unconsciously change their personality when they switch languages .","[CLS] R ##T : Un ##us ##ual ##C ##act ##P ##age , , who speak in English , may unconscious ##ly change their personality when they switch languages . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
"RT @Seahawks : Tonight is the night before . Tomorrow , we play for each other . #SB49 #LOB https://t.co/SUr3FVkDQT","[CLS] R ##T @ Seahawks : Tomorrow is the night before . Tomorrow , we play for each other . # S ##B ##4 ##9 # L ##O ##B https : / / t . co / S ##U ##r ##3 ##F ##V ##k @ R ##T [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
If I could make like 3hunna more for Twy in feb that would be rad,[CLS] If you could make like 3 ##hun ##g more for T ##wy in f ##eb that would be r ##ad [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@Ali_Leith aye lol im off tae inverness and perth the morra the peterhead Tuesday busy start to the week,[CLS] @ Ali ##bah l ##ith a - lo ##l im off ta ##e in ##vern ##s and per ##th the m ##orra the pet ##er ##head Tuesday ##s start to the week [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@EnzoQuenum c'est quand j'ai mon dessin,[CLS] @ En ##zo ##Q ##uen ##um c ' est q ##uan ##d j ' a ##i mon des ##sin [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @_youhadonejob : Richard may need some help . http://t.co/uaJqDv1ZVY,[CLS] R ##T @ _ you ##had ##s ##jo ##b : Richard may need some help . http : / / t . co / u ##r ##J ##q ##c ##v ##1 ##Z ##V ##Y [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
#Ticket - ( 4 ) Baltimore National Aquarium ADULT Passes : $ 1.00 ( 0 Bids)End Date : Friday Jan-2-201 ... http://t.co/mMieayhrpU #EventsUS,[CLS] # T ##ick ##et - ( 4 ) Baltimore National A ##qua ##rium AD ##U ##LT Pass ##port : $ 1 . 00 ( 0 B ##ids ) End Date : Friday Jan - 2 - 201 . com . ##venting : / / t . co / m ##M ##ie ##ay ##hr ##u ##U # # . [SEP] [PAD] [PAD] [PAD] [PAD]
#Longchamp - Longchamp shoulder bag made in France : $ 20.00 ( 0 Bids)End Date : Wednesday Dec-24-2014 ... http://t.co/sQk8x9suDG #Deals_US,[CLS] # Long ##champ - Long ##champ shoulder bag # . ) : shaft Sarawak . 00 ( 0 B ##ids ) End ##ed : Wednesday Dec - 24 Dec 2014 . . . http : / / t . co / b ##Q ##k ##8 ##x ##9 ##su ##D ##a # Deal ##s _ US [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @SocratesLozano : WB Shaw at 6th shut down to cedar due pedestrian who is struck and killed by a vehicle @ABC30 http://t.co/Dx3lUc4Vqh,[CLS] R ##T @ So ##crates ##L ##oz ##ano ##r W . Shaw at 6th shut down to c ##rippled due pedestrian who is struck and killed by a vehicle @ ABC ##30 http : / / t . co / D ##x ##3 / equivalent ##c ##4 . ##mp ##h [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @kayla_mertz : August 2nd is going to be the best day of my life probably,[CLS] R ##T _ ka ##yla _ me ##di ##z : August 2nd is going to be the best day of my life probably [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Also features corridor scenes I suspect were shot in corridors of TV Centre &amp; robot costumes that may have been repurposed as Cybermen .,[CLS] Also features of scenes I suspect were shot in corridors of the Centre & am ##p ; and costumes that may have been re ##pur ##posed as Cy ##ber ##men . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @Mxhxmed : even the darkest night will end and the sun will rise,"[CLS] R ##T @ M ##c une ##x ##med : even the dark ##est night will , and the sun will . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
"@fxrqn_ December 18 , 2014 at 06:31 PM #RT #TFB #TeamFollowBack #TFB #TFW #FF #Follow 6","[CLS] @ f ##x ##r ##v ##n _ December 18 , 2011 at 06 : 31 PM # R ##T # T ##FB # rulers ##F ##oll ##ow ##B ##ack # T ##FB # FF ##R ##W # FF # Follow 6 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Harvard Faculty Cry Foul Over Rising Obamacare Costs - #Payback http://t.co/1g7XaOQBGh #TeaParty #tcot #ObamacareFail,[CLS] The Faculty Cry F ##ou ##l Over Rising - The Co ##sts - # Pay ##back http : / / t . co / 1 ##g ##7 ##X / ##Q ##Q ##B ##G ##h # # ##P ##art ##y # t . . . ##R ##F . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@stylinsonphones the 1st or 3rd one,[CLS] @ s ##ty ##lins ##CU ##phones the 2nd or 3rd . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
